threshold,accuracy,precision,recall,f1_score
0.1,0.5483870967741935,0.5,1.0,0.6666666666666666
0.11,0.5483870967741935,0.5,0.9285714285714286,0.65
0.12,0.5483870967741935,0.5,0.9285714285714286,0.65
0.13,0.5483870967741935,0.5,0.9285714285714286,0.65
0.13999999999999999,0.5806451612903226,0.52,0.9285714285714286,0.6666666666666666
0.14999999999999997,0.6129032258064516,0.5416666666666666,0.9285714285714286,0.6842105263157895
0.15999999999999998,0.6129032258064516,0.5416666666666666,0.9285714285714286,0.6842105263157895
0.16999999999999998,0.6451612903225806,0.5652173913043478,0.9285714285714286,0.7027027027027027
0.17999999999999997,0.6451612903225806,0.5652173913043478,0.9285714285714286,0.7027027027027027
0.18999999999999995,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.19999999999999996,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.20999999999999996,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.21999999999999995,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.22999999999999995,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.23999999999999994,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.24999999999999992,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.2599999999999999,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.2699999999999999,0.6129032258064516,0.5454545454545454,0.8571428571428571,0.6666666666666666
0.2799999999999999,0.6451612903225806,0.5714285714285714,0.8571428571428571,0.6857142857142857
0.2899999999999999,0.6774193548387096,0.6,0.8571428571428571,0.7058823529411765
0.29999999999999993,0.6774193548387096,0.6,0.8571428571428571,0.7058823529411765
0.30999999999999994,0.6774193548387096,0.6,0.8571428571428571,0.7058823529411765
0.3199999999999999,0.6774193548387096,0.6,0.8571428571428571,0.7058823529411765
0.32999999999999985,0.6774193548387096,0.6,0.8571428571428571,0.7058823529411765
0.33999999999999986,0.6774193548387096,0.6,0.8571428571428571,0.7058823529411765
0.34999999999999987,0.6774193548387096,0.6,0.8571428571428571,0.7058823529411765
0.3599999999999999,0.6774193548387096,0.6,0.8571428571428571,0.7058823529411765
0.3699999999999999,0.6451612903225806,0.5789473684210527,0.7857142857142857,0.6666666666666666
0.3799999999999999,0.6451612903225806,0.5789473684210527,0.7857142857142857,0.6666666666666666
0.3899999999999999,0.6451612903225806,0.5789473684210527,0.7857142857142857,0.6666666666666666
0.3999999999999998,0.6451612903225806,0.5789473684210527,0.7857142857142857,0.6666666666666666
0.4099999999999998,0.6129032258064516,0.5555555555555556,0.7142857142857143,0.625
0.4199999999999998,0.6451612903225806,0.5882352941176471,0.7142857142857143,0.6451612903225806
0.4299999999999998,0.6451612903225806,0.5882352941176471,0.7142857142857143,0.6451612903225806
0.43999999999999984,0.6451612903225806,0.5882352941176471,0.7142857142857143,0.6451612903225806
0.44999999999999984,0.6451612903225806,0.5882352941176471,0.7142857142857143,0.6451612903225806
0.45999999999999985,0.6451612903225806,0.5882352941176471,0.7142857142857143,0.6451612903225806
0.46999999999999986,0.6129032258064516,0.5625,0.6428571428571429,0.6
0.47999999999999976,0.6129032258064516,0.5625,0.6428571428571429,0.6
0.48999999999999977,0.6451612903225806,0.6,0.6428571428571429,0.6206896551724138
0.4999999999999998,0.6451612903225806,0.6153846153846154,0.5714285714285714,0.5925925925925926
0.5099999999999998,0.6129032258064516,0.5833333333333334,0.5,0.5384615384615384
0.5199999999999998,0.5806451612903226,0.5454545454545454,0.42857142857142855,0.48
0.5299999999999998,0.5806451612903226,0.5454545454545454,0.42857142857142855,0.48
0.5399999999999998,0.6129032258064516,0.6,0.42857142857142855,0.5
0.5499999999999998,0.6129032258064516,0.6,0.42857142857142855,0.5
0.5599999999999997,0.6129032258064516,0.6,0.42857142857142855,0.5
0.5699999999999997,0.6451612903225806,0.6666666666666666,0.42857142857142855,0.5217391304347826
0.5799999999999997,0.6774193548387096,0.8333333333333334,0.35714285714285715,0.5
0.5899999999999997,0.6774193548387096,0.8333333333333334,0.35714285714285715,0.5
0.5999999999999998,0.6774193548387096,0.8333333333333334,0.35714285714285715,0.5
0.6099999999999998,0.6774193548387096,0.8333333333333334,0.35714285714285715,0.5
0.6199999999999998,0.6774193548387096,0.8333333333333334,0.35714285714285715,0.5
0.6299999999999997,0.6774193548387096,0.8333333333333334,0.35714285714285715,0.5
0.6399999999999997,0.6774193548387096,0.8333333333333334,0.35714285714285715,0.5
0.6499999999999997,0.6774193548387096,0.8333333333333334,0.35714285714285715,0.5
0.6599999999999997,0.6129032258064516,0.75,0.21428571428571427,0.3333333333333333
0.6699999999999997,0.6129032258064516,0.75,0.21428571428571427,0.3333333333333333
0.6799999999999997,0.6129032258064516,0.75,0.21428571428571427,0.3333333333333333
0.6899999999999997,0.6129032258064516,0.75,0.21428571428571427,0.3333333333333333
0.6999999999999996,0.6129032258064516,1.0,0.14285714285714285,0.25
0.7099999999999996,0.6129032258064516,1.0,0.14285714285714285,0.25
0.7199999999999996,0.6129032258064516,1.0,0.14285714285714285,0.25
0.7299999999999996,0.6129032258064516,1.0,0.14285714285714285,0.25
0.7399999999999997,0.6129032258064516,1.0,0.14285714285714285,0.25
0.7499999999999997,0.6129032258064516,1.0,0.14285714285714285,0.25
0.7599999999999997,0.5806451612903226,1.0,0.07142857142857142,0.13333333333333333
0.7699999999999997,0.5483870967741935,0.0,0.0,0.0
0.7799999999999997,0.5483870967741935,0.0,0.0,0.0
0.7899999999999996,0.5483870967741935,0.0,0.0,0.0
0.7999999999999996,0.5483870967741935,0.0,0.0,0.0
0.8099999999999996,0.5483870967741935,0.0,0.0,0.0
0.8199999999999996,0.5483870967741935,0.0,0.0,0.0
0.8299999999999996,0.5483870967741935,0.0,0.0,0.0
0.8399999999999996,0.5483870967741935,0.0,0.0,0.0
0.8499999999999996,0.5483870967741935,0.0,0.0,0.0
0.8599999999999995,0.5483870967741935,0.0,0.0,0.0
0.8699999999999996,0.5483870967741935,0.0,0.0,0.0
0.8799999999999996,0.5483870967741935,0.0,0.0,0.0
0.8899999999999996,0.5483870967741935,0.0,0.0,0.0
0.8999999999999996,0.5483870967741935,0.0,0.0,0.0
